Class,Subject,Term,Medium,Tamil_Term,English_Term,Needs_Human_Review
Class 6,Science,Term 1,English,(அபாகஸ்),Abacus,False
Class 6,Science,Term 1,English,(கம்ப்யூட்டர்),Computer,False
Class 6,Science,Term 1,English,கணினி,Architecture,True
Class 6,Science,Term 1,English,"கட்டமைப்பு, வடிவமைப்பு",Command,True
Class 6,Science,Term 1,English,கட்டளை,Calculator,True
Class 6,Science,Term 1,English,(செல்போன்),"Cell Phone, Mobile",False
Class 6,Science,Term 1,English,(டேப்லட்),Tablet,False
Class 6,Science,Term 1,English,"தரவு, முறைப்படுததபடட வேண்டிய",Data,True
Class 6,Science,Term 1,English,விவரஙகள்,Information,True
Class 6,Science,Term 1,English,"மின்னணு இயந்திரம், மின்சாரத்தால்",Electronic Machine,True
Class 6,Science,Term 1,English,(அனலாக் கம்ப்யூட்டர்),Analog computer,False
Class 6,Science,Term 1,English,(ஸ்மார்ட் ப�ோன்),Smart phone,False
Class 6,Science,Term 1,English,திறன் பேசி,Post Office,True
Class 6,Science,Term 1,English,தபால் நிலையம்,Automated Teller Machine (ATM),True
Class 6,Science,Term 1,English,தானியங்கி பண எந்திரம்,Keyboard,True
Class 6,Science,Term 1,English,விசைப்பலகை,Software,True
Class 6,Science,Term 1,English,மென்பொருள்,Hardware,True
Class 6,Science,Term 1,English,வன்பொருள்,Printer,True
Class 6,Science,Term 1,English,அச்சுப் ப�ொறி,Mouse,True
Class 6,Science,Term 1,English,சுட்டி,Program,True
Class 6,Science,Term 1,English,நிரல்,Programmer,True
Class 6,Science,Term 1,English,நிரலர்,6th Science_EM_Unit 7.indd 101,True
Class 6,Science,Term 1,English,அளவு நாடா,Measuring Tape,False
Class 6,Science,Term 1,English,பகுதிப்பொ,Components,True
Class 6,Science,Term 1,English,ருட்கள்,Stop clock,True
Class 6,Science,Term 1,English,நிறுத்துக் கடிகாரம்,Proportion,True
Class 6,Science,Term 1,English,அளவுசாடி,Measuring jar,False
Class 6,Science,Term 1,English,பிரித்தெடுத்தல்,Extraction,True
Class 6,Science,Term 1,English,அலகு,Unit,True
Class 6,Science,Term 1,English,வடிகட்டி,Strainer,True
Class 6,Science,Term 1,English,இடமாறு,Parallax error,True
Class 6,Science,Term 1,English,கடைதல்,Churning,True
Class 6,Science,Term 1,English,தEோற்றப்பிழை,Threshing,True
Class 6,Science,Term 1,English,கதிரடித்தல்,Mass,True
Class 6,Science,Term 1,English,நிறை,Winnowing,True
Class 6,Science,Term 1,English,தூற்றுதல்,Weight,True
Class 6,Science,Term 1,English,எடை,Sedimentation,True
Class 6,Science,Term 1,English,உயிருளள,Animate factors,False
Class 6,Science,Term 1,English,தெளியவைத்து,Decantation,True
Class 6,Science,Term 1,English,இறுத்தல்,Inanimate,True
Class 6,Science,Term 1,English,உயிரற்ற காரணிகள்,Filtrate,True
Class 6,Science,Term 1,English,வடிநீர்,factors,True
Class 6,Science,Term 1,English,வினை,Reaction,True
Class 6,Science,Term 1,English,தEொடு விசைகள்,Non-contact,True
Class 6,Science,Term 1,English,கரைத்தல்,Dissolution,True
Class 6,Science,Term 1,English,தEொடா விசைகள்,forces,True
Class 6,Science,Term 1,English,பதஙகமாதல்,Sublimation,True
Class 6,Science,Term 1,English,நேர்கோட்டு,Linear motion,False
Class 6,Science,Term 1,English,உருகுதல்,Melting,True
Class 6,Science,Term 1,English,இயக்கம்,Vaporization,True
Class 6,Science,Term 1,English,ஆவியாக்குதல்,Curvilinear,True
Class 6,Science,Term 1,English,ஆவி சுருஙகல்,Condensation,False
Class 6,Science,Term 1,English,இயக்கம்,­motion,True
Class 6,Science,Term 1,English,உறைதல்,Freezing,True
Class 6,Science,Term 1,English,வட்டப்பாதை,Circular motion,False
Class 6,Science,Term 1,English,இயக்கம்,Terminal bud,True
Class 6,Science,Term 1,English,சுழற்சி இயக்கம்,Rotatory motion,False
Class 6,Science,Term 1,English,க�ோணண ம�ொட்டு,Auxiliary buds,False
Class 6,Science,Term 1,English,அலைவு இயக்கம்,Oscillatory,True
Class 6,Science,Term 1,English,இலைக் கணு,Nodes,True
Class 6,Science,Term 1,English,பற்றுக்கம்பி,Tendril,True
Class 6,Science,Term 1,English,தழுவுக�ொடி,Twiners,True
Class 6,Science,Term 1,English,ஒழுஙகற்ற இயக்கம்,motion,True
Class 6,Science,Term 1,English,முள்,Thorns,True
Class 6,Science,Term 1,English,சராசரி வேகம்,Average speed,False
Class 6,Science,Term 1,English,தகவமைப்பு,Adaptation,True
Class 6,Science,Term 1,English,கால ஒழுங்கு,Periodic motion,False
Class 6,Science,Term 1,English,இயக்கம்,Bio diversity,True
Class 6,Science,Term 1,English,பல்லுயிர் தன்மை,Non-periodic,True
Class 6,Science,Term 1,English,கால ஒழுஙகற்ற,Eco system,True
Class 6,Science,Term 1,English,சூழியல் மணடலம்,motion,True
Class 6,Science,Term 1,English,இயக்கம்,Migration,True
Class 6,Science,Term 1,English,சீரான இயக்கம்,Uniform motion,False
Class 6,Science,Term 1,English,உயிருளள சமூகம்,Abiotic,True
Class 6,Science,Term 1,English,சீரற்ற இயக்கம்,Non-uniform,True
Class 6,Science,Term 1,English,உயிரைச் சார்ந்த,Biotic,True
Class 6,Science,Term 1,English,செயற்கை,Artificial,True
Class 6,Science,Term 1,English,சமூகம்,community,True
Class 6,Science,Term 1,English,நுண்ணறிவு,­Intelligence,True
Class 6,Science,Term 1,English,ஊட்டச்சத்துக்,Malnutrition,True
Class 6,Science,Term 1,English,நான�ோ,Nano robotics,False
Class 6,Science,Term 1,English,எந்திரனியல்,Deficiency,True
Class 6,Science,Term 1,English,குறைபாட்டு,Diffusion,True
Class 6,Science,Term 1,English,"விரவுதல், பரவுதல்",diseases,True
Class 6,Science,Term 1,English,ந�ோய்கள்,Liquefaction,True
Class 6,Science,Term 1,English,நீரமாக்கல்,Hygiene,True
Class 6,Science,Term 1,English,சுகாதாரம்,Compressible,True
Class 6,Science,Term 1,English,அழுத்தப்படக்கூடிய,Personal,True
Class 6,Science,Term 1,English,தன் சுத்தம்,Hygiene,True
Class 6,Science,Term 1,English,கலப்படமற்ற,Unadulterated,False
Class 6,Science,Term 2,English,கட்டுப்்பபாட்்டகம்,Con trol U n it,False
Class 6,Science,Term 2,English,குறுவட்டு,Compact D isk,False
Class 6,Science,Term 2,English,கம்பி,Cord/cable,True
Class 6,Science,Term 2,English,செரிமபான மண்்டலம்,D igestive,True
Class 6,Science,Term 2,English,வளிமண்்டலம்,A tmosph ere,True
Class 6,Science,Term 2,English,தரவுக்கம்பி,D ata cable,True
Class 6,Science,Term 2,English,மின் ஆற்்றல்,Electrical energy,False
Class 6,Science,Term 2,English,கணிதத்தருக்கச் செயலகம்,U n it,True
Class 6,Science,Term 2,English,மின் சுற்று,Electrical circuit,False
Class 6,Science,Term 2,English,உண்ணமயபான உட்கரு,A u dio jack,True
Class 6,Science,Term 2,English,ஒலி இணைப்்பபான்,Eukaryotic cell,True
Class 6,Science,Term 2,English,உண்டய செல்,Battery,True
Class 6,Science,Term 2,English,மின் கல அடுக்கு,Excretory,True
Class 6,Science,Term 2,English,கழிவு நீக்க மண்்டலம்,sy stem,True
Class 6,Science,Term 2,English,அடிப்்பண்ட அலகு,Basic U n it,True
Class 6,Science,Term 2,English,நபாளமில்லபாசுரப்பி மண்்டலம்.,En docrin e,True
Class 6,Science,Term 2,English,்பட்ண்டகுறியீடு ்படிப்்பபான்,Barcode Read er,False
Class 6,Science,Term 2,English,உரபாய்வு,Friction,True
Class 6,Science,Term 2,English,ஊ்டணல,Blu etooth,True
Class 6,Science,Term 2,English,எரிச்பபாருள்,Fu el,True
Class 6,Science,Term 2,English,எரிதல்,Combu stion,True
Class 6,Science,Term 2,English,சு்டர்,Flame,True
Class 6,Science,Term 2,English,சுருங்குதல்,Con traction,True
Class 6,Science,Term 2,English,உண்றதல்,Freez in g,True
Class 6,Science,Term 2,English,கணெஇணை,Flagella,True
Class 6,Science,Term 2,English,்பரும விரிவு,Expan sion,True
Class 6,Science,Term 2,English,உைவு உற்்பத்தி,Food production,False
Class 6,Science,Term 2,English,விரிெல்,Crack in g,True
Class 6,Science,Term 2,English,சவப்்பம்,H eat,True
Class 6,Science,Term 2,English,மின்கலன்,Cell,True
Class 6,Science,Term 2,English,சவப்்பம் க்டத்தல்,H eat tran sfer,False
Class 6,Science,Term 2,English,வவதி ஆற்்றல்,Chemical energy,False
Class 6,Science,Term 2,English,மின்க்டத்தபா ச்பபாருள்,I n su lators,True
Class 6,Science,Term 2,English,மின் க்டத்திகள்,Con du ctors,True
Class 6,Science,Term 2,English,எளிதில் எரியக்கூடிய,I n fl ammable,True
