Class,Subject,Term,Medium,Tamil_Term,English_Term,Needs_Human_Review
Class 7,Science,Term 1,English,அணுக்்கள்,Atoms,True
Class 7,Science,Term 1,English,எதிர்மின் அயனி,Anion,True
Class 7,Science,Term 1,English,பாலிலா இனப்்பபெருக்்கம்,Asexual Reproduction,True
Class 7,Science,Term 1,English,மககரந்்தத்்தாள் வட்்டம்,Androecium,True
Class 7,Science,Term 1,English,இரத்்த சோ@ோகை,Anemia,True
Class 7,Science,Term 1,English,கிருமிநாசினி / நச்சுத்்தடை பொ�ொருள்,Antiseptic,True
Class 7,Science,Term 1,English,முடுக்்கம்,Acceleration,True
Class 7,Science,Term 1,English,சூரியனுக்கு தொ�ொலை வில் இருக்கும் பூமியின் நிலை,(portion),False
Class 7,Science,Term 1,English,வானியல் பொ�ொருட்்களைப் பற்றி படிக்கும் இயற்பியல் பிரிவு,Astronomy,True
Class 7,Science,Term 1,English,மொ�ொட்டு விடுததல்,Budding,True
Class 7,Science,Term 1,English,தீக்்காயம்,Burn,True
Class 7,Science,Term 1,English,கக ன்றிப்போன ககாயம்,Bruise,True
Class 7,Science,Term 1,English,"இரண்டு அல்லது அததற்கு மேலான, வே றுபட்்ட மூலக்கூறுககளிலான சேர்மம்",Compound,True
Class 7,Science,Term 1,English,அணுக்்கள் மற்றும் மூலக்கூறுகள ைக் குறிக்்கக்கூடிய குறியீடு,Chemical formula,True
Class 7,Science,Term 1,English,நேர்மின் அயனி,Cation,True
Class 7,Science,Term 1,English,மின்னூட்்டத்தின் அலகு,Coloumb,True
Class 7,Science,Term 1,English,புல்லி வட்்டம்,Calyx,True
Class 7,Science,Term 1,English,அல்லி வட்்டம்,Corolla,True
Class 7,Science,Term 1,English,தொ�ொற்று நோ�ோய்்கள்,Communicable disease,True
Class 7,Science,Term 1,English,அயல் மககரந்்தச் சேர்்க்ககை,Cross Pollination,True
Class 7,Science,Term 1,English,ஈர்ப்பு மையம்,Centre of gravity,True
Class 7,Science,Term 1,English,வானியல் பொ�ொருள்்கள்,Celestial bodies,True
Class 7,Science,Term 1,English,கக ம்பியாகக மாற்்றக்கூடிய ததன்்மமைவாய்ந்்த உலோ�ோககம்,Ductile,True
Class 7,Science,Term 1,English,ஓரலகு பருமனில் அடடங்கியுள்்ள மொ�ொத்்த பொ�ொருளின் நிறை,Density,True
Class 7,Science,Term 1,English,தொ�ொலை வு,Distance,True
Class 7,Science,Term 1,English,இடடப்்பபெயர்ச்சி,Displacement,True
Class 7,Science,Term 1,English,அடிப்்படை அளவுககளிலிருந்து ததருவிக்்கப்பட்்ட அளவுககள்,Derived quantities,True
Class 7,Science,Term 1,English,ஒரே வகை அணுக்்களினால் ஆன ததனிமம்,Element,True
Class 7,Science,Term 1,English,சமநிலை,Equilibrium,True
Class 7,Science,Term 1,English,முடிவுறறா மூலக்கூறு,Free radical,True
Class 7,Science,Term 1,English,துண்்டடாததல்,Fragmentation,True
Class 7,Science,Term 1,English,கக ருவுறுததல்,Fertilization,True
Class 7,Science,Term 1,English,முததலுததவி,First aid,True
Class 7,Science,Term 1,English,சூலகக வட்்டம்,Gynoecium,True
Class 7,Science,Term 1,English,பல்ஈறு வீக்்கம்,Gingivitis,True
Class 7,Science,Term 1,English,அயனி,Ion,True
Class 7,Science,Term 1,English,இரு அணுக்்களுக்கு இடையே உள்்ள தொ�ொலை வு,Inter - atomic distance,True
Class 7,Science,Term 1,English,அணு மற்றும் மூலக்கூறுககளினால் ஆன பருப்பொருள்,Matter,True
Class 7,Science,Term 1,English,தகடட ாகக மாற்்றக்கூடிய ததன்்மமைவாய்ந்்த உலோ�ோககம்,Malleable,True
Class 7,Science,Term 1,English,பருப்பொருள்்களில் அடடங்கியுள்்ள பொ�ொருளின் அளவு,Mass,True
Class 7,Science,Term 1,English,திடப்பொருள் திரவமாகக மாறறக்கூடிய நிககழ்வு,Melting,True
Class 7,Science,Term 1,English,பருப்பொருள்,Matter,True
Class 7,Science,Term 1,English,மூலக்கூறுககள்,Molecules,True
Class 7,Science,Term 1,English,தியானம்,Meditation,True
Class 7,Science,Term 1,English,அளவுககள் குறிக்்கப்பட்்ட கொ�ொள்்கலன்,Measuring container,True
Class 7,Science,Term 1,English,சீரற்்ற முடுக்்கம்,Non - unifor acceleration,True
Class 7,Science,Term 1,English,எதிர் முடுக்்கம்,Negative acceleration,True
Class 7,Science,Term 1,English,சூரிய குடும்பத்தில் உள்்ள ஒரு கோ�ோளின் பெயர்,Neptune,True
Class 7,Science,Term 1,English,ஆற்்றல் மட்்டம்,Orbit,True
Class 7,Science,Term 1,English,சிறிய துககள்்கள்,Particles,True
Class 7,Science,Term 1,English,மககரந்்தச் சேர்்க்ககை,Pollination,True
Class 7,Science,Term 1,English,பல் சொ@ொத்்ததை / பல்்தட்்டடை,Plaque,True
Class 7,Science,Term 1,English,கொ�ொப்்பளங்்கள்,Pustules,True
Class 7,Science,Term 1,English,நேர் முடுக்்கம்,Positive acceleration,True
