Class,Subject,Term,Medium,Tamil_Term,English_Term,Needs_Human_Review
Class 6,Maths,Term 1,English,தொ�ொகுதி,Numerator,True
Class 6,Maths,Term 1,English,மறுதலை,Vice-versa,True
Class 6,Maths,Term 1,English,விரிகோ�ோணம்,Obtuse angle,True
Class 6,Maths,Term 1,English,முழு எண்கள்,Whole Numbers,True
Class 6,Maths,Term 2,English,"(நான்கு),","Naangu Four, Nalagu",False
Class 6,Maths,Term 2,English,குறுங்கோண முக்கோணம்,Acute angled triangle,True
Class 6,Maths,Term 2,English,அளவைகள்,Measurement,True
Class 6,Maths,Term 2,English,இயற்கணித கோ�ோவை,Algebraic expression,True
Class 6,Maths,Term 2,English,மெட்ரிக் அளவைகள்,Metric units,True
Class 6,Maths,Term 2,English,இணக்்கமான எண்கள் நட்பு எண்கள்,Midnight,False
Class 6,Maths,Term 2,English,நள்ளிரவு,Angles,True
Class 6,Maths,Term 2,English,கோ�ோணங்்கள்,Millennium,True
Class 6,Maths,Term 2,English,ஆயிரம் ஆண்டுகள்,Antemeridian,True
Class 6,Maths,Term 2,English,முற்்பகல்,Minute hand,True
Class 6,Maths,Term 2,English,நிமிட முள்,Arrival time,True
Class 6,Maths,Term 2,English,வந்து சேரும் நேரம்,Multiple,True
Class 6,Maths,Term 2,English,மடங்கு,Astronomical units,True
Class 6,Maths,Term 2,English,வானவியல் அலகு,Node,True
Class 6,Maths,Term 2,English,கணு,Atomic clock,True
Class 6,Maths,Term 2,English,எண்கணித கோ�ோவை,Numerical expression,False
Class 6,Maths,Term 2,English,விரிகோ�ோண முக்கோணம்,Obtuse angled triangle,False
Class 6,Maths,Term 2,English,கீழ் பாகம்,Bottom,True
Class 6,Maths,Term 2,English,ஒற்்றை எண்,Odd number,True
Class 6,Maths,Term 2,English,கிளைகள்,Branches,True
Class 6,Maths,Term 2,English,சாதாரண நேரம்,Ordinary time,True
Class 6,Maths,Term 2,English,மெழுகுவர்த்தி கடிகாரம்,Candle clock,True
Class 6,Maths,Term 2,English,இணை கோ�ோடுகள்,Parallel lines,True
Class 6,Maths,Term 2,English,கொ�ொள்ளளவு,Capacity,True
Class 6,Maths,Term 2,English,ஊசல் கடிகாரம்,Pendulum clock,True
Class 6,Maths,Term 2,English,நூற்்றறாண்டு,Century,True
Class 6,Maths,Term 2,English,செவ்விய எண் / நிறை றைவு எண்,Perfect Number,True
Class 6,Maths,Term 2,English,numberபப,Composite,False
Class 6,Maths,Term 2,English,கு எண்,Perpendicular lines,True
Class 6,Maths,Term 2,English,செங்குத்துக் கோ�ோடுகள்,Co-prime numbers,True
Class 6,Maths,Term 2,English,சார் பபகா எண்கள்,Postmeridian,True
Class 6,Maths,Term 2,English,பிற்்பகல்,Cost price,True
Class 6,Maths,Term 2,English,numberபப,Prime,False
Class 6,Maths,Term 2,English,கா எண்,Cubit,True
Class 6,Maths,Term 2,English,முழம்,Profit,True
Class 6,Maths,Term 2,English,லாபபம்,Dealer,True
Class 6,Maths,Term 2,English,முகவர்,Quartz clock,True
Class 6,Maths,Term 2,English,குவார்ட்ஸ் கடிகாரம்,Departure time,True
Class 6,Maths,Term 2,English,புறப்்படும் நேரம்,Railway time,True
Class 6,Maths,Term 2,English,இரயில்்வவே நேரம்,Digital clock,True
Class 6,Maths,Term 2,English,இலக்்க முறை றை கடிகாரம்,Revolves,True
Class 6,Maths,Term 2,English,சுற்றி வருவது,Discount,True
Class 6,Maths,Term 2,English,செங்கோண முக்கோணம்,Right angled triangle,False
Class 6,Maths,Term 2,English,நேர இடைவெளி,Duration,True
Class 6,Maths,Term 2,English,தன்்னனைத் தானே சுற்றுவது,Rotate,True
Class 6,Maths,Term 2,English,விளிம்பு,Edge,True
Class 6,Maths,Term 2,English,மணற் கடிகாரம்,Sand clock,True
Class 6,Maths,Term 2,English,சமபக்்க முக்கோணம்,Equilateral triangle,True
Class 6,Maths,Term 2,English,திட்ட அலகுகள்,Standard Units,True
Class 6,Maths,Term 2,English,இரட்்டடை எண்,Even number,True
Class 6,Maths,Term 2,English,அசமபக்்க முக்கோணம்,Scalene triangle,True
Class 6,Maths,Term 2,English,காரணி,Factor,True
Class 6,Maths,Term 2,English,நொ�ொடிமுள்,Seconds hand,True
Class 6,Maths,Term 2,English,அடி,Foot,True
Class 6,Maths,Term 2,English,விற்்ற விலை,Selling price,True
Class 6,Maths,Term 2,English,மேலின அலகுகள்,Higher units,True
Class 6,Maths,Term 2,English,முக்கோணமானி / மூலை மட்டம்,Set square,True
Class 6,Maths,Term 2,English,மீப்்பபெரு பொ�ொது காரணி,Highest Common Factor,False
Class 6,Maths,Term 2,English,கடைக்்ககாரர்,Shopkeeper,True
Class 6,Maths,Term 2,English,காலங்்ககாட்டிகளை பபற்றிய பபடிப்பு,Horology,True
Class 6,Maths,Term 2,English,பக்்கம்,Side,True
Class 6,Maths,Term 2,English,மணி முள்,Hour hand,True
Class 6,Maths,Term 2,English,சாண்,Span,True
Class 6,Maths,Term 2,English,இருசமபக்்க முக்கோணம்,Isosceles triangle,True
Class 6,Maths,Term 2,English,திட்ட அளவைகள்,Standardised measure,False
Class 6,Maths,Term 2,English,லீப் ஆண்டு / நெட்்டடாண்டு,Leap year,True
Class 6,Maths,Term 2,English,மரவுரு பபடம் / மரச் செடி வரைபபடம்,Tree diagram,True
Class 6,Maths,Term 2,English,மீச்சிறு பொ�ொது மடங்கு,Least Common Multiple,False
Class 6,Maths,Term 2,English,முக்கோணம்,Triangle,True
Class 6,Maths,Term 2,English,ஒளியாண்டு,Light year,True
Class 6,Maths,Term 2,English,முக்கோண சமனின்்மமை,Triangle Inequality,True
Class 6,Maths,Term 2,English,கோ�ோட்டுத்துண்டு,Line segment,True
Class 6,Maths,Term 2,English,மூன்்றன் தொ�ொகுதி,Triplet,True
Class 6,Maths,Term 2,English,நட்டம்,Loss,True
Class 6,Maths,Term 2,English,இரட்்டடை பபகா எண்கள்,Twin primes,True
Class 6,Maths,Term 2,English,கீழின அலகுகள்,Lower units,True
Class 6,Maths,Term 2,English,வெற்றிடம்,Vacuum,True
Class 6,Maths,Term 2,English,உற்்பத்தியாளர்,Manufacturer,True
Class 6,Maths,Term 2,English,உச்சி / முனை,Vertex,True
Class 6,Maths,Term 2,English,குறித்த விலை,Marked price,True
Class 6,Maths,Term 2,English,கனஅளவு,Volume,True
Class 6,Maths,Term 2,English,அதிகபபட்்ச விற்்பனை விலை,Maximum retail price,True
Class 6,Maths,Term 2,English,நீர் கடிகாரம்,Water clock,True
Class 6,Maths,Term 3,English,வழிமுறை / படிமுறை,Algorithm,True
Class 6,Maths,Term 3,English,எண் க�ோடு,Number line,True
Class 6,Maths,Term 3,English,தEோராயமாக,Approximate,True
Class 6,Maths,Term 3,English,எதிரெண்,Opposite number,True
Class 6,Maths,Term 3,English,பரபபளவு,Area,True
Class 6,Maths,Term 3,English,வெளிப்புற எல்லை,Outer boundary,True
Class 6,Maths,Term 3,English,ஏறுவரிசை,Ascending order,True
Class 6,Maths,Term 3,English,நீள் வடிவம்,Oval shape,True
Class 6,Maths,Term 3,English,சமச்சீரற்ற,Asymmetrical,True
Class 6,Maths,Term 3,English,சுற்றளவு,Perimeter,True
Class 6,Maths,Term 3,English,சமச்சீர் அச்சு,Axis of symmetry,True
Class 6,Maths,Term 3,English,மிகை முழுககள்,Positive integers,True
Class 6,Maths,Term 3,English,அடிபபககம்,Base,True
Class 6,Maths,Term 3,English,மிகை எண்,Positive number,True
Class 6,Maths,Term 3,English,எல்லை,Boundary,True
Class 6,Maths,Term 3,English,முன்னி,Predecessor,True
Class 6,Maths,Term 3,English,தகு பினனம்,Proper fraction,True
Class 6,Maths,Term 3,English,அகலம்,Breadth,True
Class 6,Maths,Term 3,English,தலை லைகீழி,Reciprocal,True
Class 6,Maths,Term 3,English,மூடிய உருவம்,Closed figure,True
Class 6,Maths,Term 3,English,செவவகம்,Rectangle,True
Class 6,Maths,Term 3,English,கூட்டு வடிவஙகள்,Combined shapes,True
Class 6,Maths,Term 3,English,எதிர�ொளிப்பு,Reflection,True
Class 6,Maths,Term 3,English,அடுத்தடுத்த,Consecutive,True
Class 6,Maths,Term 3,English,எதிர�ொளிப்பு சமச்சீர்,Reflection symmetry,False
Class 6,Maths,Term 3,English,இறங்குவரிசை,Descending order,True
Class 6,Maths,Term 3,English,ஒழுங்கு அறுங்கோணம்,Regular hexagon,True
Class 6,Maths,Term 3,English,திசை எண்,Directed number,True
Class 6,Maths,Term 3,English,ஒழுங்கு ஐங்கோணம்,Regular pentagon,True
Class 6,Maths,Term 3,English,தEொலை லைவு,Distance,True
Class 6,Maths,Term 3,English,ஒழுங்கு வடிவம்,Regular shapes,True
Class 6,Maths,Term 3,English,சமபகக முக்கோணம்,Equilateral triangle,True
Class 6,Maths,Term 3,English,உருமாற்றம்,Reshape,True
Class 6,Maths,Term 3,English,சமான பினனம்,Equivalent fraction,True
Class 6,Maths,Term 3,English,அளவு மாற்றம்,Resize,True
Class 6,Maths,Term 3,English,உத்தேச மதிப்பு,Estimated value,True
Class 6,Maths,Term 3,English,சாய்சதுரம்,Rhombus,True
Class 6,Maths,Term 3,English,பினனம்,Fraction,True
Class 6,Maths,Term 3,English,செங்கோண முக்கோணம்,Right angled triangle,False
Class 6,Maths,Term 3,English,பினன பட் டைகள்,Fraction bars,True
Class 6,Maths,Term 3,English,சுழற்சி,Rotation,True
